t,Fx_pressure_N,Fx_viscous_N
10,-18831.34,-86.08835
20,-3637.07,-113.113
30,-4095.173,-132.0977
40,-3411.007,-145.3174
50,-2501.406,-158.0907
60,-1858.135,-172.0008
70,-1696.056,-186.6508
80,-1391.642,-200.9009
90,-1243.651,-214.5663
100,-1184.861,-228.7171
110,-1304.823,-239.5991
120,-1396.958,-248.5366
130,-1314.079,-256.1842
140,-1246.506,-263.6546
150,-1223.672,-270.6681
160,-1160.399,-277.0654
170,-1176.19,-283.5693
180,-1149.781,-289.5395
190,-1150.632,-295.1804
200,-1134.354,-300.4441
210,-1164.719,-304.8886
220,-1185.09,-308.4299
230,-1196.701,-311.4319
240,-1209.838,-313.3131
250,-1225.406,-314.8164
260,-1258.757,-316.1317
270,-1259.82,-317.1851
280,-1247.607,-317.9949
290,-1260.995,-318.4844
300,-1261.451,-318.7944
310,-1260.389,-318.8651
320,-1274.723,-318.7068
330,-1293.007,-318.2821
340,-1249.341,-317.6279
350,-1240.326,-316.7887
360,-1313.269,-315.8683
370,-1291.398,-314.835
380,-1284.146,-313.8457
390,-1321.554,-313.1361
400,-1348.006,-312.3999
410,-1362.028,-311.6285
420,-1369.843,-310.8214
430,-1374.864,-309.9914
440,-1385.468,-309.1412
450,-1388.231,-308.2533
460,-1391.863,-307.3403
470,-1395.496,-306.4037
480,-1397.173,-305.4452
490,-1402.114,-304.4663
500,-1397.395,-303.3729
510,-1413.041,-301.9625
520,-1412.497,-300.244
530,-1399.093,-298.7273
540,-1412.101,-297.0363
550,-1401.769,-295.3901
560,-1405.749,-293.1198
570,-1445.298,-291.204
580,-1444.696,-289.2256
590,-1451.106,-287.556
600,-1451.892,-285.6574
610,-1530.037,-283.8452
620,-1474.366,-281.9454
630,-1472.727,-280.0853
640,-1504.471,-278.1919
650,-1488.345,-276.6492
660,-1527.89,-275.0342
670,-1524.848,-273.2312
680,-1517.444,-271.3033
690,-1549.297,-269.5162
700,-1558.754,-267.7324
710,-1549.491,-265.9268
720,-1551.299,-264.2125
730,-1544.501,-262.4006
740,-1532.443,-260.4905
750,-1593.145,-258.7232
760,-1559.898,-256.8325
770,-1580.181,-255.0672
780,-1592.175,-253.496
790,-1637.327,-251.9291
800,-1629.108,-250.3612
810,-1651.345,-248.7651
820,-1638.9,-247.3906
830,-1643.459,-245.9984
840,-1663.267,-244.8966
850,-1690.57,-243.6423
860,-1690.723,-242.5235
870,-1682.901,-241.3032
880,-1655.968,-239.7848
890,-1656.263,-238.4426
900,-1690.51,-237.1468
910,-1707.969,-236.152
920,-1702.461,-234.9762
930,-1722.704,-233.8344
940,-1740.77,-232.9385
950,-1750.321,-232.0612
960,-1731.779,-231.2397
970,-1743.713,-230.5385
980,-1760.85,-229.7457
990,-1781.903,-229.049
