t,Fx_pressure_N,Fx_viscous_N
10,-1551.888,-16.30123
20,-713.5619,-17.4319
30,-1251.707,-18.36464
40,-674.6749,-18.77337
50,-561.3145,-19.17296
60,-455.9903,-19.60009
70,-384.83,-20.08537
80,-339.9807,-20.55661
90,-296.8126,-21.1423
100,-275.8458,-21.7939
110,-260.9292,-22.48324
120,-316.688,-23.11022
130,-292.4698,-23.5146
140,-278.9802,-23.93194
150,-265.7177,-24.36441
160,-225.7876,-24.94063
170,-215.2573,-25.83953
180,-234.1486,-26.61216
190,-233.0739,-27.22672
200,-235.8784,-27.86765
210,-241.0074,-28.48319
220,-249.4458,-29.04965
230,-246.5832,-29.56145
240,-244.2553,-30.05329
250,-245.5255,-30.55974
260,-245.8082,-31.05964
270,-246.1653,-31.54644
280,-247.1142,-32.01792
290,-248.0047,-32.48567
300,-249.105,-32.93991
310,-249.8131,-33.37536
320,-250.4804,-33.80013
330,-251.6591,-34.21588
340,-246.9912,-34.65911
350,-241.8451,-35.16862
360,-243.4648,-35.70654
370,-244.2328,-36.26267
380,-247.015,-36.79882
390,-249.0211,-37.3522
400,-250.1665,-37.87923
410,-252.0178,-38.38959
420,-251.7785,-38.90725
430,-252.9384,-39.43587
440,-254.0599,-39.95963
450,-255.266,-40.49432
460,-256.1225,-41.04293
470,-257.509,-41.58683
480,-258.9287,-42.13793
490,-260.7537,-42.65407
500,-269.416,-43.15983
510,-263.6046,-43.62896
520,-264.8966,-44.12506
530,-274.13,-44.57802
540,-272.934,-44.95482
550,-268.0019,-45.38901
560,-269.319,-45.7606
570,-270.1067,-46.1454
580,-272.4772,-46.47521
590,-271.3551,-46.82008
600,-278.6185,-47.14775
610,-274.1503,-47.4685
620,-274.3475,-47.78133
630,-276.8839,-48.07245
640,-276.4069,-48.33827
650,-280.3531,-48.61036
660,-277.5136,-48.8855
670,-284.9027,-49.13238
680,-278.2519,-49.3704
690,-280.4866,-49.60532
700,-282.7653,-49.81541
710,-281.8106,-50.0248
720,-282.0412,-50.23504
730,-282.6404,-50.434
740,-283.5142,-50.62129
750,-281.9643,-50.80869
760,-275.9601,-51.05163
770,-267.5166,-51.38216
780,-270.6648,-51.77807
790,-272.6929,-52.16407
800,-272.9599,-52.5226
810,-275.5759,-52.87846
820,-278.8091,-53.21665
830,-279.5999,-53.52238
840,-282.0049,-53.8082
850,-285.6649,-54.05346
860,-287.858,-54.28825
870,-289.0298,-54.47421
880,-289.7623,-54.65602
890,-290.3665,-54.82486
900,-292.9795,-54.97067
910,-292.8326,-55.11833
920,-293.4706,-55.25009
930,-293.7809,-55.36369
940,-293.8477,-55.48055
950,-294.9429,-55.58111
960,-295.3396,-55.67166
970,-296.105,-55.75695
980,-296.7605,-55.83885
990,-297.1114,-55.91171
1000,-297.7265,-55.97641
1010,-298.0062,-56.03818
1020,-298.5779,-56.09351
1030,-300.4127,-56.14138
1040,-299.1804,-56.18426
1050,-299.4652,-56.22439
1060,-300.1998,-56.26053
1070,-300.4648,-56.29089
1080,-300.9142,-56.31647
1090,-301.534,-56.33863
1100,-301.9051,-56.35744
1110,-302.33,-56.37274
1120,-303.0014,-56.38444
1130,-303.2672,-56.39245
1140,-303.4806,-56.39755
1150,-303.7192,-56.39993
1160,-304.0382,-56.39981
1170,-304.7595,-56.39718
1180,-305.446,-56.39214
1190,-305.6871,-56.38487
1200,-305.9076,-56.37549
1210,-306.3989,-56.36415
1220,-306.6289,-56.35101
1230,-306.7563,-56.33626
1240,-306.0086,-56.31947
1250,-301.0293,-56.29619
1260,-295.5073,-56.26096
1270,-295.7292,-56.21708
1280,-295.5825,-56.16534
1290,-298.8387,-56.11054
1300,-298.7203,-56.0507
1310,-298.8633,-55.98587
1320,-300.5917,-55.91864
1330,-302.53,-55.85233
1340,-303.2069,-55.78303
1350,-302.3125,-55.70832
1360,-301.7494,-55.62138
1370,-303.1289,-55.52835
1380,-305.8738,-55.45041
1390,-305.5305,-55.3676
1400,-305.9034,-55.28094
1410,-306.0217,-55.19347
1420,-306.3951,-55.10598
1430,-307.6114,-55.02142
1440,-307.8182,-54.9333
1450,-308.9948,-54.83861
1460,-308.4492,-54.74585
1470,-309.2829,-54.65199
1480,-310.3435,-54.55725
1490,-311.1008,-54.46353
1500,-312.3826,-54.37109
1510,-312.7222,-54.282
1520,-313.9823,-54.19103
1530,-314.8019,-54.10071
1540,-315.8183,-54.01114
1550,-316.3757,-53.92256
1560,-316.1854,-53.83732
1570,-316.2891,-53.75122
1580,-317.4182,-53.66969
1590,-320.6126,-53.62211
1600,-320.8675,-53.57486
1610,-319.3746,-53.52467
1620,-320.6258,-53.47407
1630,-320.9011,-53.4248
1640,-321.1227,-53.37593
1650,-320.8151,-53.32618
1660,-319.4087,-53.26603
1670,-322.4161,-53.19494
1680,-321.3137,-53.14153
1690,-321.6008,-53.0879
1700,-321.8844,-53.03407
1710,-321.9652,-52.98003
1720,-322.5097,-52.92843
1730,-322.5995,-52.87731
1740,-322.7668,-52.82585
1750,-322.3387,-52.77407
1760,-321.0714,-52.71979
1770,-311.8674,-52.64671
1780,-326.2068,-52.53637
1790,-325.7722,-52.48667
1800,-326.5004,-52.43915
1810,-327.3261,-52.39307
1820,-326.9825,-52.34745
1830,-313.4986,-52.28068
1840,-327.4265,-52.22909
1850,-328.4088,-52.17945
1860,-328.9581,-52.13168
1870,-329.3432,-52.08513
1880,-324.1958,-52.03376
1890,-315.4464,-51.92511
1900,-329.6584,-51.83015
1910,-330.3425,-51.77912
1920,-330.6774,-51.72992
1930,-330.9984,-51.68186
1940,-329.5085,-51.63293
1950,-320.158,-51.55743
