t,Fx_pressure_N,Fx_viscous_N
10,-38558.04,-251.4677
20,-10235.91,-312.8473
30,-5342.107,-382.539
40,-5163.747,-433.0348
50,-4350.095,-479.6843
60,-5843.775,-521.6184
70,-2941.201,-569.2916
80,-3625.747,-617.4307
90,-2587.589,-665.9257
100,-2969.136,-700.3773
110,-2875.945,-729.0841
120,-2871.928,-756.328
130,-2829.865,-783.3441
140,-2632.242,-806.5574
150,-2692.425,-825.5461
160,-2720.411,-840.7699
170,-2781.769,-853.4861
180,-2849.568,-862.4371
190,-2452.979,-870.3795
200,-2473.437,-877.5364
210,-2533.919,-883.4899
220,-3175.333,-887.826
230,-2949.62,-891.1535
240,-3195.214,-893.5022
250,-3161.374,-895.3788
260,-2784.054,-896.851
270,-3348.27,-897.5606
280,-3091.744,-897.5533
290,-2742.795,-896.918
300,-2962.37,-895.8923
310,-2810.501,-894.057
320,-2801.467,-891.9599
330,-3015.729,-889.2433
340,-3118.7,-886.9297
350,-3111.033,-884.2271
360,-3046.396,-881.4717
370,-2851.714,-878.5492
380,-2933.227,-875.1558
390,-3023.587,-872.2537
400,-2911.132,-869.1241
410,-2931.223,-866.1023
420,-3102.699,-863.3851
430,-3182.551,-859.7777
440,-3207.279,-856.246
450,-3121.147,-852.5031
460,-3150.515,-847.4851
470,-3177.385,-843.7874
480,-3281.027,-840.4824
490,-3306.202,-837.2131
500,-3069.875,-833.9879
510,-3086.282,-830.1034
520,-3202.711,-825.6795
530,-3192.199,-821.8644
540,-3368.491,-818.5474
550,-3333.636,-815.5913
560,-3361.452,-812.5877
570,-3202.93,-808.356
580,-3295.74,-804.2292
590,-3463.362,-800.5407
600,-3438.138,-797.1248
610,-3482.817,-794.209
620,-3614.516,-791.5799
630,-3613.038,-789.1299
640,-3511.379,-786.3557
650,-3466.251,-782.4729
660,-3536.419,-779.1689
670,-3593.19,-776.2319
680,-3567.482,-773.3879
690,-3685.066,-770.3465
700,-3707.254,-768.029
710,-3708.683,-765.8686
720,-3619.399,-763.5522
730,-3585.916,-759.9262
740,-3675.278,-757.0942
750,-3698.918,-754.6039
760,-3675.778,-752.2684
770,-3624.066,-749.6358
780,-3718.11,-745.6538
790,-3670.128,-743.6012
800,-3688.573,-739.5041
810,-3770.241,-736.8731
820,-3784.569,-734.6313
830,-3777.939,-732.5566
840,-3746.533,-730.4549
850,-3621.269,-727.8455
860,-3766.62,-725.6563
870,-3716.555,-723.4375
880,-3707.09,-720.8144
890,-3772.707,-718.4326
900,-3838.222,-716.4794
910,-3884.519,-714.6844
920,-3833.522,-712.958
930,-3849.33,-711.1363
940,-3865.092,-709.3962
950,-3813.101,-707.6802
960,-3889.365,-705.7398
970,-3825.506,-703.6855
980,-3867.09,-701.3483
990,-3866.852,-699.6145
1000,-3976.688,-698.0715
1010,-3979.437,-696.6339
1020,-3957.911,-695.1434
1030,-3972.731,-693.5814
1040,-3922.043,-691.8666
1050,-3969.203,-690.1338
1060,-3915.159,-688.3147
1070,-3880.229,-685.7252
1080,-4070.031,-684.0566
1090,-4097.824,-682.7531
1100,-4101.635,-681.5522
1110,-4070.359,-680.2797
1120,-4049.72,-678.7435
1130,-4080.747,-677.2225
1140,-4051.813,-675.7599
1150,-4001.003,-673.9229
1160,-4115.165,-671.6827
1170,-4190.946,-670.3271
1180,-4169.345,-669.2973
1190,-4165.085,-668.0904
1200,-4158.665,-666.6935
1210,-4156.6,-665.3942
1220,-4169.479,-664.1643
1230,-4113.039,-662.6858
1240,-4173.089,-661.0238
1250,-4219.82,-659.9123
1260,-4235.929,-658.9281
1270,-4248.605,-657.9753
1280,-4248.023,-656.9108
1290,-4241.565,-655.7546
1300,-4237.653,-654.3194
1310,-4263.057,-652.7506
1320,-4319.511,-651.2855
1330,-4349.977,-650.3074
1340,-4334.851,-649.399
1350,-4323.496,-648.3882
1360,-4233.863,-646.9619
1370,-4284.667,-645.4334
1380,-4381.288,-644.2692
1390,-4408.174,-643.3705
1400,-4390.471,-642.497
1410,-4314.194,-641.3882
1420,-4367.68,-640.005
1430,-4445.565,-639.0122
1440,-4467.706,-638.2497
1450,-4446.316,-637.5474
1460,-4433.484,-636.7557
1470,-4478.458,-636.0398
1480,-4449.535,-635.4292
1490,-4417.931,-634.92
1500,-4455.42,-634.4345
1510,-4469.289,-633.9174
1520,-4478.759,-633.4183
1530,-4453.94,-632.8292
1540,-4452.2,-632.1339
1550,-4518.315,-631.5651
1560,-4578.249,-631.0651
1570,-4571.426,-630.6277
1580,-4596.7,-630.2577
1590,-4582.178,-629.8973
1600,-4553.019,-629.4386
