t,Fx_pressure_N,Fx_viscous_N
10,-4327.033,-12.4601
20,-817.4374,-12.81132
30,-535.2473,-13.32038
40,-413.5806,-13.85037
50,-308.1773,-14.33342
60,-249.7464,-14.90015
70,-222.956,-15.4816
80,-176.1189,-16.09091
90,-153.7137,-16.76642
100,-129.0624,-17.53225
110,-112.1028,-18.47729
120,-104.5945,-19.47249
130,-92.30942,-20.98345
140,-88.76876,-22.40581
150,-82.84844,-23.80471
160,-87.72531,-25.09221
170,-77.65719,-26.49659
180,-74.19916,-27.8493
190,-77.64854,-28.99554
200,-73.63682,-30.24026
210,-70.8124,-31.43573
220,-73.09022,-32.56393
230,-74.12157,-33.66998
240,-69.62379,-34.7738
250,-67.97935,-35.86186
260,-67.62691,-37.03611
270,-66.64433,-38.25695
280,-75.43352,-39.19789
290,-74.23406,-39.8518
300,-73.14527,-40.53763
310,-71.84158,-41.26225
320,-75.10186,-41.76502
330,-74.73527,-42.21837
340,-74.28716,-42.6673
350,-74.05739,-43.11104
360,-73.89667,-43.54999
370,-73.65244,-43.98443
380,-73.67854,-44.41292
390,-73.5449,-44.83321
400,-73.31733,-45.24189
410,-82.11874,-45.54402
420,-80.81195,-45.70381
430,-79.94644,-45.86161
440,-79.40698,-46.0173
450,-78.94353,-46.17078
460,-78.54787,-46.32205
470,-78.23051,-46.47104
480,-78.12269,-46.61762
490,-77.96536,-46.76189
500,-77.85123,-46.90369
510,-76.88061,-47.04294
520,-77.03749,-47.17962
530,-77.00294,-47.31367
540,-77.15552,-47.44502
550,-77.53909,-47.57363
560,-78.29384,-47.69943
570,-77.92267,-47.82235
580,-77.37383,-47.94227
590,-77.30277,-48.05907
600,-78.06339,-48.17265
610,-77.81548,-48.28287
620,-77.91232,-48.38953
630,-78.29936,-48.49246
640,-78.25529,-48.59159
650,-78.23049,-48.68673
660,-78.78629,-48.77755
670,-78.62603,-48.86359
680,-78.56718,-48.9444
690,-78.59153,-49.01971
700,-80.9053,-49.05961
710,-80.55293,-49.09051
720,-80.39247,-49.11988
730,-80.24473,-49.14769
740,-80.12988,-49.17392
750,-80.04222,-49.19854
760,-79.99908,-49.22151
770,-79.98532,-49.24282
780,-79.99025,-49.26241
790,-80.00712,-49.28027
800,-80.09841,-49.29636
810,-80.16232,-49.31066
820,-80.22821,-49.32306
830,-80.2788,-49.33362
840,-80.44393,-49.34232
850,-80.66192,-49.34915
860,-80.80017,-49.35408
870,-80.91844,-49.35704
880,-81.0535,-49.35801
890,-81.14859,-49.35695
900,-81.27412,-49.35381
910,-81.42599,-49.34855
920,-81.56789,-49.34113
930,-81.67298,-49.33149
940,-81.84398,-49.31961
950,-82.00433,-49.30542
960,-82.12471,-49.28889
970,-82.28679,-49.26997
980,-82.49748,-49.24861
990,-82.65287,-49.22478
1000,-82.82432,-49.1984
1010,-82.99855,-49.16943
1020,-83.15539,-49.13781
1030,-83.32083,-49.1035
1040,-83.49415,-49.06644
1050,-83.67669,-49.02653
1060,-83.86013,-48.98371
1070,-84.14951,-48.93789
1080,-84.33592,-48.88896
1090,-84.74142,-48.8368
1100,-84.92347,-48.78133
1110,-85.17691,-48.72252
1120,-85.50046,-48.66021
1130,-85.79993,-48.59422
1140,-86.05066,-48.52438
1150,-86.25495,-48.45058
1160,-86.59113,-48.37271
1170,-86.98252,-48.2905
1180,-87.07995,-48.20388
1190,-87.56651,-48.1126
1200,-87.9222,-48.01647
1210,-88.25055,-47.91515
1220,-88.69208,-47.80809
1230,-88.99184,-47.69497
1240,-89.30721,-47.5754
1250,-89.61177,-47.44912
1260,-88.70436,-47.3167
1270,-88.71571,-47.18274
1280,-89.4749,-47.03781
1290,-90.2937,-46.88133
1300,-89.23366,-46.725
1310,-88.74726,-46.55873
1320,-88.69913,-46.38135
1330,-89.33501,-46.18921
1340,-88.96008,-45.98417
1350,-90.32693,-45.76027
1360,-91.4529,-45.5405
1370,-92.87869,-45.33445
1380,-91.11835,-45.09798
1390,-90.81503,-44.7636
1400,-93.37318,-44.51869
1410,-93.85687,-44.33782
1420,-93.95394,-44.1468
1430,-94.0421,-43.94454
1440,-93.92991,-43.72906
1450,-93.98792,-43.4994
1460,-94.10039,-43.25322
1470,-94.29352,-42.98821
1480,-94.52585,-42.70115
1490,-97.28991,-42.43564
1500,-95.28342,-42.27019
1510,-95.70344,-42.11213
1520,-96.09071,-41.95279
1530,-96.5145,-41.79198
1540,-96.91155,-41.62986
1550,-97.27625,-41.46698
1560,-97.71508,-41.30214
1570,-98.29625,-41.13827
1580,-98.22223,-40.9856
1590,-98.59803,-40.83086
1600,-99.17148,-40.67074
1610,-99.63883,-40.50523
1620,-100.1879,-40.33739
1630,-99.93789,-40.17485
1640,-100.5694,-40.00908
1650,-101.2055,-39.83601
1660,-101.1742,-39.66971
1670,-101.8856,-39.49297
1680,-100.1033,-39.31273
1690,-101.4279,-39.16214
1700,-102.084,-38.99779
1710,-102.8839,-38.82276
1720,-102.3603,-38.65964
1730,-102.7995,-38.49275
1740,-103.3032,-38.31674
1750,-103.2338,-38.1313
1760,-103.6874,-37.93784
1770,-103.7877,-37.77516
1780,-104.4324,-37.60266
1790,-104.9228,-37.42596
1800,-105.5034,-37.25462
1810,-106.8294,-37.09893
1820,-106.1724,-36.96093
1830,-105.6105,-36.81967
1840,-106.085,-36.67729
1850,-108.7293,-36.54522
1860,-109.4793,-36.43215
1870,-109.3887,-36.37556
1880,-109.542,-36.31963
1890,-109.5791,-36.26429
1900,-109.681,-36.20965
1910,-109.8514,-36.15574
1920,-110.0464,-36.10255
1930,-110.2059,-36.05003
1940,-110.2448,-35.99829
1950,-110.3736,-35.94744
1960,-110.4243,-35.89745
1970,-109.9815,-35.84858
1980,-110.2379,-35.80071
1990,-110.5883,-35.75372
2000,-110.524,-35.55218
2000.01,-112.1871,-35.2791
2000.02,-115.1439,-35.13491
2000.04,-117.3284,-34.73383
2000.06,-117.9255,-34.48815
2000.08,-117.8852,-34.33348
2000.1,-117.4072,-34.25863
2000.12,-116.0205,-34.2548
2000.14,-114.1611,-34.28579
2000.16,-111.9025,-34.3222
2000.18,-109.6017,-34.39502
2000.2,-106.7872,-34.51328
2000.22,-104.2345,-34.60457
2000.24,-101.2062,-34.71576
2000.26,-98.39343,-34.78415
2000.28,-95.55837,-34.8124
2000.3,-92.76465,-34.83008
2000.32,-90.0222,-34.85034
2000.34,-87.5046,-34.86125
2000.36,-85.1664,-34.86659
2000.38,-83.05159,-34.86687
2000.4,-81.20815,-34.85269
2000.42,-79.60592,-34.83007
2000.44,-78.38478,-34.80442
2000.46,-77.50785,-34.78261
2000.47,-75.84722,-34.77302
2000.48,-75.97165,-34.7656
2000.49,-75.43576,-34.7641
2000.5,-75.60181,-34.7652
2000.51,-75.27306,-34.7757
2000.53,-76.62187,-34.79934
2000.54,-77.09703,-34.83293
2000.56,-77.84046,-34.8623
2000.57,-78.8679,-34.88293
2000.59,-79.23152,-34.91518
2000.6,-79.71829,-34.95149
2000.62,-81.61273,-35.01193
2000.63,-88.09193,-35.28142
2000.64,-82.8954,-35.56572
2000.65,-83.07083,-35.47665
2000.67,-80.2092,-35.31821
2000.69,-78.86612,-35.24365
2000.71,-77.3387,-35.19994
2000.72,-77.83923,-35.14741
2000.74,-77.8266,-35.07505
2000.76,-78.85514,-35.01849
2000.78,-79.191,-34.97815
2000.8,-78.46397,-34.94537
2000.81,-77.17914,-34.90829
2000.83,-75.5744,-34.86697
2000.85,-74.47482,-34.8251
2000.86,-74.01485,-34.79882
2000.88,-73.27147,-34.78279
2000.89,-73.4497,-34.78128
2000.91,-73.51259,-34.80375
2000.92,-74.33073,-34.84862
2000.93,-75.35024,-34.92586
2000.95,-75.81969,-35.03505
2000.96,-78.46176,-35.13655
2000.97,-79.77292,-35.20418
2000.98,-80.42756,-35.30198
2000.99,-81.11113,-35.41928
2001.01,-81.91795,-35.53928
2001.02,-83.2575,-35.65799
2001.03,-81.1447,-35.77312
2001.04,-79.8153,-35.87914
2001.06,-78.74444,-35.96629
2001.07,-78.09315,-36.03522
2001.08,-76.49853,-36.11214
2001.09,-73.58552,-36.17915
2001.11,-71.72484,-36.22263
2001.12,-69.53457,-36.27678
2001.13,-66.80836,-36.30181
2001.15,-64.18635,-36.34388
2001.16,-62.77785,-36.3845
2001.17,-60.91217,-36.4426
2001.18,-58.97607,-36.49951
2001.2,-56.50207,-36.55408
2001.21,-53.29798,-36.66706
2001.23,-52.93442,-36.83184
2001.24,-50.86063,-37.01071
2001.25,-50.88743,-37.15846
2001.26,-50.68365,-37.2994
2001.27,-49.65761,-37.46774
2001.28,-49.29885,-37.63015
2001.29,-49.09029,-37.77553
2001.3,-47.56168,-38.07186
2001.31,-47.74585,-38.22902
2001.32,-47.37053,-38.37829
2001.33,-46.99124,-38.56881
2001.34,-45.92428,-38.76887
2001.36,-44.6339,-38.94058
2001.37,-43.49214,-39.11899
2001.38,-43.48358,-39.28624
2001.4,-43.45708,-39.44383
